/home/gsnearing/projects/SACSMA-SNOW17
Using 40 cores of 40 total.
Initializing the  Dynamically Dimensioned Search (DDS) algorithm  with  100000  repetitions
The objective function will be minimized
Starting the DDS algotrithm with 100000 repetitions...
Finding best starting point for trial 1 using 500 random samples.
Initialize database...
['csv', 'hdf5', 'ram', 'sql', 'custom', 'noData']
3002 of 100000, maximal objective function=20.4448, time remaining: 07:23:44
3010 of 100000, maximal objective function=20.4448, time remaining: 07:23:41
3018 of 100000, maximal objective function=20.4448, time remaining: 07:23:38
3026 of 100000, maximal objective function=20.4448, time remaining: 07:23:35
3034 of 100000, maximal objective function=20.4448, time remaining: 07:23:32
3042 of 100000, maximal objective function=20.4448, time remaining: 07:23:29
3050 of 100000, maximal objective function=20.5227, time remaining: 07:23:27
3058 of 100000, maximal objective function=20.5227, time remaining: 07:23:24
3066 of 100000, maximal objective function=20.5227, time remaining: 07:23:22
3074 of 100000, maximal objective function=20.5227, time remaining: 07:23:19
3082 of 100000, maximal objective function=20.5227, time remaining: 07:23:16
3090 of 100000, maximal objective function=20.5227, time remaining: 07:23:14
3098 of 100000, maximal objective function=20.5227, time remaining: 07:23:11
3106 of 100000, maximal objective function=20.5227, time remaining: 07:23:08
3114 of 100000, maximal objective function=20.5227, time remaining: 07:23:05
3122 of 100000, maximal objective function=20.5227, time remaining: 07:23:02
3129 of 100000, maximal objective function=20.5227, time remaining: 07:23:11
3137 of 100000, maximal objective function=20.5227, time remaining: 07:23:08
3145 of 100000, maximal objective function=20.5227, time remaining: 07:23:05
3153 of 100000, maximal objective function=20.5227, time remaining: 07:23:03
3161 of 100000, maximal objective function=20.5227, time remaining: 07:23:00
3169 of 100000, maximal objective function=20.5227, time remaining: 07:22:58
3177 of 100000, maximal objective function=20.5271, time remaining: 07:22:56
3185 of 100000, maximal objective function=20.5271, time remaining: 07:22:55
3193 of 100000, maximal objective function=20.5271, time remaining: 07:22:53
3201 of 100000, maximal objective function=20.5271, time remaining: 07:22:50
3209 of 100000, maximal objective function=20.5271, time remaining: 07:22:48
3217 of 100000, maximal objective function=20.5271, time remaining: 07:22:45
3225 of 100000, maximal objective function=20.5271, time remaining: 07:22:42
3233 of 100000, maximal objective function=20.5271, time remaining: 07:22:39
3241 of 100000, maximal objective function=20.5271, time remaining: 07:22:36
3249 of 100000, maximal objective function=20.5271, time remaining: 07:22:33
3257 of 100000, maximal objective function=20.5271, time remaining: 07:22:32
